raw_label,canonical_department
Anesthesiology and Critical Care Medicine,Anesthesiology and Critical Care Medicine
Dermatology,Dermatology
Emergency Medicine,Emergency Medicine
Gastroenterology,Gastroenterology
Gynecology and Obstetrics,Gynecology and Obstetrics
Infectious Diseases,Infectious Diseases
Medicine,Medicine
Neurology,Neurology
Neurosurgery,Neurosurgery
Oncology,Oncology
Orthopaedic Surgery,Orthopaedic Surgery
Otolaryngology,Otolaryngology
Pathology,Pathology
Pediatrics,Pediatrics
Physical Medicine and Rehabilitation,Physical Medicine and Rehabilitation
Psychiatry,Psychiatry
Radiation Oncology,Radiation Oncology
Radiology,Radiology
Urology,Urology
